id,make,model,year,vin,country,owner,currentgaslevel,dailyrate
387,Chevrolet,G-Series G30,1996,JN8AF5MR7BT147012,TH,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,15.86,$207.99
388,Hyundai,Sonata,2005,5FRYD4H29EB469339,CN,"'""'",15.91,$167.56
389,Buick,Skyhawk,1987,KL4CJASB6EB459537,CN,הָיְתָהtestالصفحات التّحول,9.59,$223.34
390,Audi,A6,1997,1D7CE3BK4AS673979,DE,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,19.53,$194.77
391,MINI,Cooper,2010,1N6AA0CC3CN643714,NG,NIL,8.39,$141.36
392,Toyota,4Runner,1997,2C4JRGAG0DR608059,SE,œ∑´®†¥¨ˆøπ“‘,4.69,$238.87
393,Acura,CL,1997,YV4960DL4A2207889,ID,␣,13.16,$237.26
394,Chevrolet,Express 3500,2005,1FTEX1E86AF203038,RU,사회과학원 어학연구소,21.81,$204.91
395,Lincoln,Aviator,2004,1N6AA0CH4DN032667,CZ,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,1.85,$145.12
396,Suzuki,XL-7,2002,JM1CR2W37A0385378,US,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,2.94,$129.53
397,Dodge,Neon,1997,1G6DV57V280952627,KE,᠎,9.19,$161.62
398,Maybach,57,2012,WBADW3C58BE567228,ID,"""",5.95,$230.16
399,Pontiac,Sunfire,2005,1C6RD6LP6CS331088,MX,1E02,10.73,$242.32
400,MINI,MINI,2002,4T1BF1FK6EU629439,RU,１２３,14.06,$239.42
401,Mazda,Navajo,1992,1FTMF1CW5AF112231,MW,울란바토르,18.88,$52.18
402,Pontiac,Torrent,2008,1GYFK638X8R087092,US,œ∑´®†¥¨ˆøπ“‘,18.06,$54.89
403,Toyota,Solara,2004,5FPYK1F47DB551473,AL,NULL,5.27,$190.56
404,Porsche,928,1991,WAUGL98E36A489116,MG,‫test‫,14.69,$113.26
405,BMW,X5 M,2011,WBAEV33432P419278,AR,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,4.07,$111.08
406,Nissan,Frontier,2005,WAUKH98E68A830362,AF,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,6.58,$113.21
407,Pontiac,Tempest,1961,2C3CDXGJXEH912053,BW,-1,21.5,$150.29
408,Mitsubishi,Raider,2009,3C63D3EL8CG047998,BT,1E2,0.39,$228.28
409,Nissan,Frontier,2002,ZFF75VFA2F0006017,CN,NULL,24.19,$179.44
410,Ford,Club Wagon,1998,3D73Y3HL5AG252013,JP,!@#$%^&*(),21.39,$29.25
411,Mazda,Mazda6,2007,WBAKE3C56BE426295,CN,　,21.02,$132.56
412,Cadillac,Escalade ESV,2007,WAURMAFDXEN401770,ID,0.00,23.82,$161.93
413,Chrysler,New Yorker,1995,2G4GP5EX4F9370097,FR,1E02,7.97,$72.08
414,Chevrolet,Express,2009,1C3CDFBB3FD325573,GR,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,21.84,$226.77
415,Dodge,Intrepid,1999,1D7RE2GK9BS938037,CN,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",20.94,$70.55
416,Dodge,Ram 2500,2001,WAUVT68E62A184614,PL,｀ｨ(´∀｀∩,0.28,$102.77
417,Chevrolet,Suburban 2500,2005,WBAVB73537P755223,CN,"'""'",14.75,$44.54
418,Mitsubishi,Eclipse,1989,SCFAB423X3K255875,ID,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,19.83,$116.16
419,Audi,R8,2012,1G6DA5EG0A0962689,CN,../../../../../../../../../../../etc/passwd%00,7.57,$229.87
420,Volkswagen,Cabriolet,2002,WAUJT68E85A951852,GW,הָיְתָהtestالصفحات التّحول,6.94,$240.48
421,Aston Martin,V8 Vantage,2009,ZFF75VFAXF0964533,RU,,25.67,$64.41
422,Kia,Spectra,2009,JH4KC1F3XEC780794,CN,åß∂ƒ©˙∆˚¬…æ,11.63,$199.67
423,Mitsubishi,Lancer Evolution,2006,3C4PDDEG0ET555055,KZ,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,8.39,$50.53
424,Ford,E250,2004,JH4NA12614T253681,LU,１２３,12.66,$84.86
425,Chevrolet,Avalanche 2500,2006,JTDKDTB37D1809808,NL,1/2,6.04,$123.50
426,Pontiac,Grand Prix,1987,WAUJC68E93A355923,ID,0/0,8.65,$195.98
427,Nissan,300ZX,1992,JN8AZ1MU4CW672355,CA,"'""'",2.5,$116.84
428,BMW,M5,2008,2FMGK5B8XEB389804,ID,0/0,22.13,$171.93
429,Ford,Explorer,2009,JH4CU2F67AC933157,CN, ,7.33,$149.79
430,Mazda,929,1989,1G4PR5SK7C4154312,MY,"""""",19.14,$208.77
431,GMC,Savana 3500,1999,1C4AJWAGXDL089855,ID,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",13.34,$214.30
432,Chevrolet,Express 1500,2009,19UUA8F57EA267395,DK,"""'""'""''''""",7.12,$151.69
433,Mazda,CX-5,2013,YV140MAK2F1634335,BR,᠎,13.24,$60.96
434,Pontiac,GTO,1969,WAUDF48H78K236790,MK,0.00,19.15,$204.82
435,Toyota,MR2,2002,1G6KD57YX7U761887,CN,1/2,17.4,$22.59
436,Chrysler,300,2011,5UXWY3C5XF0681660,VN,Ω≈ç√∫˜µ≤≥÷,13.72,$165.34
437,Acura,NSX,1992,WAUBGAFB8AN930894,CO,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,16.07,$140.48
438,Ford,Crown Victoria,2000,1GYS4HKJ3FR475173,NO,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,5.64,$155.84
439,Lamborghini,Murciélago,2005,WAUSH98E97A642658,PL,﻿,23.39,$80.42
440,Pontiac,Grand Prix,1987,3G5DA03L07S037547,BR,$1.00,2.41,$88.96
441,Chevrolet,Suburban 2500,1997,WAU4GBFB9AN434274,BD,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },12.59,$121.92
442,Mitsubishi,Mighty Max,1996,5TFBW5F1XDX040250,CN,部落格,13.31,$172.72
443,Audi,A4,2006,SAJWA4EC1CM995761,HT,パーティーへ行かないか,23.02,$81.17
444,Toyota,T100,1997,WBANA53594B736871,PT,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",7.06,$228.44
445,Subaru,Outback,2005,1G6AH5RX9E0110954,ZA,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,14.8,$161.29
446,Chevrolet,1500,1998,3D7TT2CT6BG299908,CN,⁰⁴⁵₀₁₂,24.38,$81.59
447,Suzuki,SX4,2012,WAUAC68D41A572056,ID,1.00,12.5,$197.96
448,Subaru,Tribeca,2010,WBANU53599C081880,RU,null,7.17,$191.01
449,Dodge,Durango,2011,3MZBM1U79EM960848,MN,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,19.29,$229.61
450,GMC,Rally Wagon G3500,1996,WUADNAFG8AN210351,RU,Œ„´‰ˇÁ¨ˆØ∏”’,17.43,$31.31
451,Chevrolet,Colorado,2009,WBY2Z2C54EV080641,AR,"""'""'""''''""",17.39,$249.36
452,Lexus,RX,2010,5J6TF2H54DL314854,PE,`⁄€‹›ﬁﬂ‡°·‚—±,18.01,$31.81
453,Buick,LaCrosse,2009,WBADT43453G359397,CN,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,2.9,$177.77
454,Audi,5000S,1986,2HNYB1H62DH544751,RU,1E02,7.74,$72.27
455,Hyundai,Santa Fe,2011,5UXWZ7C52F0371989,PK,Œ„´‰ˇÁ¨ˆØ∏”’,3.11,$187.77
456,Buick,Lucerne,2009,WBA1K5C56FV451493,ID,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,10.17,$92.01
457,Pontiac,Firebird,1967,JA4AS2AWXDU934897,PL,‪‪test‪,13.91,$215.20
458,Lotus,Esprit,1991,1HGCR2F38EA706250,BR,הָיְתָהtestالصفحات التّحول,15.63,$26.97
459,Mazda,B-Series,2002,1GYS4FEJ0CR023094,US,⁰⁴⁵,6.36,$229.92
460,Toyota,T100 Xtra,1998,3D7TP2CT9AG729434,NG,¡™£¢∞§¶•ªº–≠,11.43,$243.08
461,Lexus,ES,2001,WAUSF98KX9A012310,ID,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,1.3,$111.98
462,GMC,1500 Club Coupe,1992,1G6KD57Y02U772681,SE,0.00,9.87,$196.64
463,Buick,Regal,2000,WAUAFAFL6DN756951,PH,הָיְתָהtestالصفحات التّحول,13.48,$35.92
464,Ford,F-350 Super Duty,2006,1N4AB7AP2DN348450,IE,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,5.57,$86.24
465,Land Rover,Discovery,1994,WA1AY94L58D602817,CN,00˙Ɩ$-,8.31,$27.32
466,BMW,7 Series,2009,5GAKVBKD5DJ410199,ID,0.00,12.24,$144.80
467,Volkswagen,Fox,1987,SALVP2BG2FH675200,CL,1/0,8.36,$183.01
468,Chevrolet,Corvette,1965,WBANB53546C604207,AO,<script>alert('hi')</script>,18.79,$179.64
469,Mercedes-Benz,300E,1993,WBSPM9C56AE285783,CA,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,23.09,$227.95
470,Jeep,Cherokee,1993,1GYFC16299R055050,UY,👩🏽,18.32,$159.35
471,Pontiac,Parisienne,1986,1HGCP2E37AA950392,CN,1.00,21.8,$24.04
472,Pontiac,Bonneville,1986,1FMCU5K39AK163380,PH,1E2,13.52,$177.85
473,Mazda,Protege,1994,SCBGR3ZA5CC053168,BY,和製漢語,10.0,$53.41
474,Chevrolet,Express 1500,2006,WA1BV94L28D733829,JP,⁰⁴⁵,1.47,$99.50
475,Porsche,Boxster,2003,YV126MFJ3F1679953,FR,😍,16.64,$50.09
476,Chevrolet,Cruze,2011,WBANB53556C023010,CN,社會科學院語學研究所,0.49,$159.35
477,Ford,Econoline E250,2000,5N1AT2MK7EC224354,TG,¸˛Ç◊ı˜Â¯˘¿,8.85,$29.47
478,Acura,TL,1995,3D73Y4CL6BG416352,FR,00˙Ɩ$-,10.37,$214.30
479,Toyota,Camry,2012,JN1AZ4EH2FM928879,SE,¸˛Ç◊ı˜Â¯˘¿,1.66,$208.60
480,Dodge,Ram 1500,2010,TRUWT28N711727716,AL,NULL,0.15,$233.97
481,Mercedes-Benz,W201,1984,WBALL5C51FP954083,MY,'',21.43,$237.89
482,Hyundai,Equus,2013,WBAFB33481L295852,SE,NIL,4.32,$75.04
483,Pontiac,Grand Prix,1976,5J6TF1H58DL074458,CN,和製漢語,10.52,$42.26
484,Dodge,Dakota Club,2001,5N1AL0MM0FC282880,UA,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,23.21,$161.17
485,Porsche,Panamera,2012,1GD21ZCG7CZ144711,SY, ,20.37,$133.21
486,Mitsubishi,Mirage,1986,5TDDK3DC7ES604926,PL,田中さんにあげて下さい,8.99,$197.49
487,Chevrolet,Camaro,1993,1D7RB1CP0AS536250,ID,1.00,4.83,$122.88
488,Mitsubishi,GTO,1997,WBA3V7C57F5634218,CN,｀ｨ(´∀｀∩,13.03,$130.51
489,Mitsubishi,Galant,2000,19VDE1F50DE497942,YE,(｡◕ ∀ ◕｡),24.54,$208.76
490,Maybach,57,2010,WVWAA7AH9AV382032,PT,部落格,21.4,$55.42
491,Lincoln,MKX,2007,3GYEK62N36G055231,ID,1E02,25.23,$119.93
492,Chevrolet,SSR,2006,SALVP2BG8EH435390,CN,(｡◕ ∀ ◕｡),4.72,$168.53
493,Nissan,Xterra,2011,1GYS3GEF8CR863516,CN,⁰⁴⁵₀₁₂,24.98,$95.08
494,Mercury,Grand Marquis,1990,KNDPB3AC5F7862911,EG,1E2,19.95,$125.46
495,Chevrolet,Camaro,1997,WAULT58E74A692465,MG,-1E2,12.44,$129.44
496,Volkswagen,Beetle,1965,2C3CDXEJ7DH066465,SY,⁰⁴⁵,18.67,$189.23
497,Ford,Mustang,2008,1GYS4MKJ0FR788416,RU,"'""'",21.11,$238.23
498,Mercedes-Benz,600SEL,1992,3VWPG3AG9AM938923,CI,-1,6.06,$67.62
499,Pontiac,LeMans,1966,WBALM5C57BE420072,JP,-$1.00,22.33,$180.94
500,Buick,Rendezvous,2004,2B3CL5CT5BH437628,PH,,23.94,$60.85
501,Land Rover,Range Rover Sport,2009,4T1BK1EB9EU617492,CN,test⁠test‫,8.66,$229.04
502,Volvo,S60,2013,1FTEW1E82AF949327,SE,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,0.48,$236.19
503,Chrysler,Concorde,1999,1FTSW2A50AE742879,LC,¸˛Ç◊ı˜Â¯˘¿,23.07,$153.94
504,Subaru,Baja,2006,SALVP1BG4EH423585,NI,"__ﾛ(,_,*)",17.1,$80.02
505,Pontiac,Trans Sport,1999,SCFFDCCD5CG152500,DE,<script>alert('hi')</script>,25.0,$61.12
506,Chrysler,LHS,1995,19UUA9E56EA432702,CZ,␣,25.96,$23.08
507,Mercedes-Benz,SLK-Class,2007,KMHFC4DD1AA154360,EE,1E+02,24.18,$173.66
508,Subaru,Legacy,1998,WAUZL54B51N064608,CN,部落格,7.53,$167.48
509,Ford,Aerostar,1989,5GAKVAED8BJ563601,LU,0/0,16.06,$162.15
510,Volvo,C70,1999,WDDHF0EB1EA176929,PF,nil,7.83,$60.22
511,Mazda,Miata MX-5,2005,1G4CW54K944409144,PH,'',13.81,$50.38
512,Saturn,Outlook,2009,3VW4T7AT8DM650625,AM,␢,10.19,$92.49
513,Audi,A6,1995,1G6DJ5EY9B0913436,CN,⁰⁴⁵₀₁₂,7.81,$104.47
514,Honda,Prelude,1993,ZFBCFABH2EZ866065,FR,👩🏽,23.58,$37.60
515,Buick,Century,1995,19UUB3F53FA777454,RU,åß∂ƒ©˙∆˚¬…æ,20.67,$24.89
516,BMW,M3,2009,WBAWR33529P105519,LS,œ∑´®†¥¨ˆøπ“‘,9.61,$35.50
517,GMC,Yukon XL 2500,2004,JH4CU2E83CC729705,PL,¡™£¢∞§¶•ªº–≠,7.5,$206.03
518,Jeep,Cherokee,2000,WDDGF4HB1CA343110,FR,⁰⁴⁵₀₁₂,18.25,$191.38
519,Cadillac,STS,2006,2D4RN6DX9AR382204,RU,｀ｨ(´∀｀∩,3.56,$143.24
520,BMW,550,2006,1C3BCBEB8CN621245,ID,１２３,4.24,$155.06
521,Pontiac,Grand Am,1996,KMHGH4JH2EU911560,BR,　,13.0,$223.16
522,Lincoln,Navigator,2006,5FRYD3H46GB149300,CN,👩🏽,20.23,$122.26
523,Mitsubishi,Mirage,1989,1GD21ZCG7CZ701715,CM,Œ„´‰ˇÁ¨ˆØ∏”’,12.51,$171.18
524,Honda,Insight,2002,1FMCU4K38BK456909,CN,../../../../../../../../../../../etc/passwd%00,23.78,$41.99
525,Morgan,Aero 8,2008,5FRYD3H64FB456058,CN,-1.00,1.31,$201.27
526,Cadillac,Eldorado,2002,5GAER23D19J581345,ID,(｡◕ ∀ ◕｡),5.18,$54.83
527,Chevrolet,Express 2500,2012,WBADW3C57BE700786,NG,　,23.83,$214.35
528,Rolls-Royce,Phantom,2006,WBAKX6C56CC090821,AR,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,14.85,$195.97
529,Mazda,Familia,1988,WAUEKBFB9AN562002,AF,,5.88,$211.80
530,Kia,Spectra,2003,JA32X2HU7BU895679,PT,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,20.4,$234.44
531,Citroën,SM,1972,JTHBC1KS0B5437411,PL,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,6.71,$189.76
532,Audi,A4,2004,WAUHF98P28A384843,CN,"""''''""'""",21.22,$60.94
533,Subaru,SVX,1995,1GYS4HEF4ER051538,CN,$1.00,9.57,$202.59
534,Kia,Optima,2002,3VW517AT5EM047904,CN,Ω≈ç√∫˜µ≤≥÷,5.89,$125.14
535,Volkswagen,GTI,2001,2HNYD18821H639964,BA,null,0.64,$142.19
536,Mazda,Tribute,2009,5NPDH4AE1EH374915,CA,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",1.7,$43.65
537,BMW,7 Series,2009,3C4PDDEG2DT038225,CN,👩🏽,18.57,$69.65
538,Scion,xB,2005,2T1BU4EE5DC912272,BR,⁦test⁧,8.93,$147.05
539,Mercury,Marquis,1986,1G6DC67A980354785,CN,｀ｨ(´∀｀∩,12.08,$232.77
540,Lamborghini,Diablo,1999,3VW117AU7FM916060,NL,⁰⁴⁵₀₁₂,16.44,$43.01
541,Dodge,Ram 3500 Club,1997,YV4902BZ7D1730693,CA,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,18.19,$223.50
542,Ford,Ranger,1986,JN8AZ2KR9CT847513,BR,⁰⁴⁵₀₁₂,13.48,$216.93
543,Ford,F250,2007,WA1VMAFP2FA957733,VN,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",24.87,$167.48
544,BMW,M3,2004,1FTEW1CF4FF760901,ID,パーティーへ行かないか,3.19,$214.78
545,Land Rover,Defender,1992,WAUEF78E38A587200,GN,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",10.11,$172.07
546,Mazda,Miata MX-5,1992,1FTWW3CY8AE939992,CN,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1.92,$239.80
547,Ford,E-Series,1986,1N6AF0LX9FN746256,ID,../../../../../../../../../../../etc/hosts,24.31,$194.73
548,GMC,Rally Wagon 3500,1994,WAUXL58E95A543039,JP,ÅÍÎÏ˝ÓÔÒÚÆ☃,7.85,$212.23
549,GMC,Canyon,2010,2G61R5S3XF9235294,TH,和製漢語,19.67,$236.79
550,Kia,Sephia,1996,4JGBF2FB9AA529952,US,‫test‫,4.87,$221.66
551,Ford,Escort,1993,1D7CW2BK6AS357734,BR,١٢٣,25.31,$194.47
552,Pontiac,6000,1985,JN8AE2KP0B9712538,PL,🐵 🙈 🙉 🙊,8.58,$124.48
553,Subaru,SVX,1994,5N1BA0NE2FN495223,MG,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,15.58,$110.14
554,Dodge,Ram 3500,1998,TRUDD38J181263713,NA,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,17.53,$53.27
555,Buick,LeSabre,1991,1D4PT7GX8BW858093,SE,1/2,9.72,$245.00
556,Lexus,ES,1990,5NPEB4AC4DH541089,CN,null,6.99,$97.75
557,GMC,Savana 2500,2005,WBAGK93431D740032,SV,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",24.14,$78.07
558,Honda,Civic,2001,WBAUP9C51CV033926,PH,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,22.91,$62.44
559,Cadillac,Escalade,2008,WDDHF7GB3EB952879,CN,␣,6.75,$98.99
560,GMC,Envoy XL,2002,1G6DC8EY7B0015784,PT,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,12.84,$192.62
561,Volkswagen,Jetta III,1995,JHMZF1C63CS639671,US,1,24.02,$193.96
562,Maybach,62,2003,WAUBH78E16A672045,CN,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",10.82,$48.61
563,Dodge,Ram Van 1500,2001,1G6KD57Y61U027514,CN,../../../../../../../../../../../etc/hosts,7.97,$175.44
564,Mercedes-Benz,W201,1989,JM1CR2W37A0216509,PL,"""'""'""''''""",10.32,$73.33
565,Subaru,Impreza,2001,KNDJT2A15B7831955,ID,₀₁₂,17.13,$23.91
566,Ford,Explorer Sport,2003,2C3CCARG0EH051712,CZ,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,14.43,$68.42
567,Plymouth,Voyager,1993,3C3CFFHH2DT645190,HN,-1E+02,19.24,$91.90
568,Hyundai,Santa Fe,2009,5N1AA0ND3FN882348,ID,-1E02,18.08,$164.32
569,Toyota,TundraMax,2007,1N6AF0LX5FN079945,UG,"""''''""'""",10.71,$140.15
570,Lincoln,Town Car,1994,SCBBP93W89C651254,PL,​,2.28,$203.77
571,GMC,Suburban 1500,1999,WAUSFAFL7CA082819,US,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",14.48,$247.78
572,Honda,CR-V,2003,19UUA56672A896917,CN,<script>alert('hi')</script>,3.36,$193.07
573,Mercedes-Benz,SLS AMG,2011,1G6AL1R30F0772069,UA,1,6.93,$61.14
574,Saturn,S-Series,2001,1GD010CG3BF608564,FR,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,8.34,$61.44
575,Chevrolet,Colorado,2006,KMHD35LH8FU308733,EE,␢,15.29,$111.44
576,Cadillac,XLR,2007,2C3CK5CV0AH572702,PL,nil,8.13,$240.62
577,Subaru,Legacy,2000,5J6TF3H32CL418391,PL,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",14.06,$241.49
578,Land Rover,Range Rover,1992,5N1AN0NW7FN023544,PL,"""'""'""''''""",20.03,$57.09
579,Jaguar,XJ,2011,5UXFA93595L602855,CA,1E2,0.77,$225.08
580,Lexus,GS,2010,WBA3B5C50EF964174,ID,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",7.09,$77.84
581,GMC,Canyon,2009,1G6DK5ED2B0787012,ID,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,2.87,$49.83
582,Nissan,Frontier,2007,JTHBE5C25A2543370,PE,Ω≈ç√∫˜µ≤≥÷,4.71,$190.10
583,Oldsmobile,Cutlass Supreme,1993,WBAWC735X9E507177,MN,␣,3.79,$235.21
584,Saab,900,1987,WAULFAFR4BA944014,PT,‫test‫,11.98,$119.46
585,Toyota,Celica,2005,WAULD54B03N615064,ID,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2.15,$182.46
586,Hyundai,Tucson,2011,WAUGGBFC7DN716858,BR,1E02,13.07,$185.62
587,Mazda,B-Series Plus,1995,1G4HP57276U791854,IR,᠎,18.27,$118.55
588,GMC,Envoy,2009,JTHBE1D22E5745837,PL,🐵 🙈 🙉 🙊,13.81,$141.41
589,Daewoo,Nubira,2001,1GD311CG1FF980655,JP,﻿,9.01,$89.81
590,Saturn,L-Series,2005,JH4KB16617C917430,NZ,null,17.79,$129.14
591,Ford,Taurus,1987,WAUKH94F06N769465,BR,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },3.97,$99.36
592,Mitsubishi,GTO,1993,JN8AS5MT2BW551468,CO,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,25.2,$81.18
593,GMC,Sonoma,2001,1N6AA0EC9FN398774,CN,Ω≈ç√∫˜µ≤≥÷,1.17,$175.23
594,Cadillac,Fleetwood,1995,WAU2MAFC4EN598685,GE,1/2,7.61,$127.58
595,Isuzu,Rodeo,2003,WAUNG74F29N836995,ID,-1/2,6.82,$182.01
